"FCAC_RN,C,4","ORGBASE_RN,C,4","ANK_RN,C,4","CATALOG_RN,C,4","FCAC_PREFI,C,4","FCAC_NUM,C,10","POST_RN,C,4","SUBDIV_RN,C,4","VIDISP_RN,C,4","ISMAINISP,L","ISCOMBISP,L","ISORDISP,L","TIPDOL_RN,C,4","KATPER_RN,C,4","ORDERNUM,C,15","ORDERDATE,D","STARTDATE,D","ENDDATE,D","NOTE,M","MARK1_RN,C,4","MARK2_RN,C,4","MARK3_RN,C,4","MARK4_RN,C,4","MARK5_RN,C,4","SDOC_RN,C,4","SDOC_NUM,C,10","SDOC_DATE,D","SDOCORG_RN,C,4","EDOC_RN,C,4","EDOC_NUM,C,10","EDOC_DATE,D","EDOCORG_RN,C,4"
00H?,,0018,00Gh,033,      0740,007?,000a,0005,??????,????,????,003?,000L,,,01.01.2000,31.01.2011,,,,,,,,,,,0009,?-25,27.01.2011,
00H?,,000U,00Gh,033,      1349,008?,000a,0005,??????,????,????,000u,000N,,,21.05.2001,10.08.2009,,,,,,,,,,,0009,?-388,04.08.2009,
00I8,,00Ae,00c?,00,      0050,006?,001?,0005,??????,????,????,003?,0002,4/?,25.03.1996,25.03.1996,31.12.8888,,,,,,,,,,,,,,
00IA,,002R,00JD,,        47,006u,0011,0005,??????,????,????,003?,0002,?-38,19.03.2001,20.03.2001,31.12.8888,,,,,,,,,,,,,,
00IB,,00Af,00c?,,        48,006?,001?,0005,??????,????,????,003?,0002,?-86,13.07.1993,02.07.1993,31.12.8888,,,,,,,,,,,,,,
00ID,,00Ai,00JD,,        50,006t,0011,0005,??????,????,????,002D,0002,?-127,19.08.1988,15.08.1988,31.12.8888,,,,,,,,,,,,,,
00IE,,00Aj,00JD,,        51,006t,0011,0005,??????,????,????,002D,0002,,,01.01.2000,31.12.8888,,,,,,,,,,,,,,
00IF,,00Ak,00JD,,        52,006t,0011,0005,??????,????,????,002D,0002,36,15.03.1982,12.03.1982,31.12.8888,,,,,,,,,,,,,,
00IG,,00Ar,00JD,,        53,006s,0011,0005,??????,????,????,0025,0002,,,01.01.2008,24.05.2010,,,,,,,,,,,0009,?-235,20.05.2010,
00IH,,00At,00JD,,        54,006t,0011,0005,??????,????,????,002D,0002,,,01.01.2000,31.12.8888,,,,,,,,,,,,,,
00II,,00B2,00c?,,        55,006?,001?,0005,??????,????,????,003?,0002,,,01.01.2008,22.06.2012,,,,,,,,,,,0009,?-442,13.06.2012,
00IL,,00B6,00JD,,        58,006z,0011,0005,??????,????,????,001k,0003,,,01.01.2008,03.02.2012,,,,,,,,,,,0009,?-66,31.01.2012,
00IM,,00DB,00c?,,        59,006?,001?,0005,??????,????,????,003?,0003,?-39,20.03.2001,21.03.2001,31.12.8888,,,,,,,,,,,,,,
00IN,,00DJ,00c?,,        60,006?,0011,0005,??????,????,????,001m,0003,?-65,31.05.2001,01.06.2001,31.12.2013,,,,,,,,,,,0009,?-931,25.12.2013,
00IO,,00B8,00J6,,        61,007?,001D,0005,??????,????,????,0035,000Q,,,01.01.2008,31.12.8888,,,,,,,,,,,,,,
00IP,,00B9,00JD,,        62,006?,0011,0005,??????,????,????,001m,0003,?-125,23.10.2001,24.10.2001,31.12.8888,,,,,,,,,,,,,,
00IQ,,00BF,00c?,,        63,00A0,001?,0005,??????,????,????,000o,0003,?-54,24.05.2004,01.06.2004,31.12.8888,,,,,,,,,,,,,,
00IR,,00Ka,00JD,,        64,006?,0011,0005,??????,????,????,001r,0003,?-129,17.11.2004,18.11.2004,31.12.8888,,,,,,,,,,,,,,
00IS,,0082,00JD,,        65,006?,0011,0005,??????,????,????,001m,0003,171/?,20.09.2005,21.09.2005,31.12.8888,,,,,,,,,,,,,,
00IV,,00K7,00w?,,        66,006H,001m,0005,??????,????,????,001n,0003,?-41,16.04.2004,19.04.2004,31.12.8888,,,,,,,,,,,,,,
00IW,,00Li,00w?,,        67,009?,001m,0005,??????,????,????,000o,0003,?-268,05.09.2006,06.09.2006,31.12.8888,,,,,,,,,,,,,,
00IX,,001U,00w?,,        68,006D,001m,0005,??????,????,????,003?,0001,?-118,04.11.1994,03.10.1994,31.12.8888,,,,,,,,,,,,,,
00IY,,001V,00w?,,        69,006D,001m,0005,??????,????,????,003?,0001,?-175,27.05.2008,01.09.2007,31.12.8888,,,,,,,,,,,,,,
00IZ,,001W,00w?,,        70,006D,001m,0005,??????,????,????,003?,0001,?-85,12.07.1993,22.07.1993,31.12.8888,,,,,,,,,,,,,,
00Ia,,009e,00c?,,        71,008z,001?,0005,??????,????,????,0017,0001,30,09.11.1964,29.10.1964,31.12.8888,,,000i,,,,,,,,,,,
00Ib,,001b,00w?,,        72,006C,001m,0005,??????,????,????,002P,000K,133,22.09.1986,22.09.1986,31.12.8888,,,000i,,,,,,,,,,,
00Ic,,001f,00w?,2,        39,006D,001m,0005,??????,????,????,003?,0001,14/?,01.02.1999,01.02.1999,31.12.8888,,,000i,,,,,,,,,,,
00Id,,00IP,00w?,,        74,006D,001m,0005,??????,????,????,003?,0001,?-198,06.07.2006,01.08.2006,31.12.8888,,,,,,,,,,,,,,
00Ie,,002D,00w?,,        75,006G,001m,0005,??????,????,????,002F,0002,63/?,22.06.1992,01.07.1992,31.12.8888,,,,,,,,,,,,,,
00If,,002F,00w?,,        76,006G,001m,0005,??????,????,????,002F,0002,110/?,26.08.1993,01.09.1993,31.12.8888,,,000i,,,,,,,,,,,
00Ig,,002G,00w?,,        77,006G,001m,0005,??????,????,????,002F,0002,198,02.10.1989,03.10.1989,31.12.8888,,,000i,,,,,,,,,,,
00Ih,,002H,00w?,,        78,006G,001m,0005,??????,????,????,002F,0002,,,01.09.2007,29.02.2012,,,000i,,,,,,,,0009,?-166,29.02.2012,
00Ii,,003H,00w?,,        79,006E,001m,0005,??????,????,????,0025,0002,,,01.09.2007,21.05.2009,,,000i,,,,,,,,0009,?-212,12.05.2009,
00Ij,,002J,00w?,,        80,006G,001m,0005,??????,????,????,002F,0002,63,22.06.1992,22.06.1992,31.12.8888,,,000i,,,,,,,,,,,
00Ik,,002L,00w?,,        81,006G,001m,0005,??????,????,????,002F,0002,17/?,14.02.1996,14.02.1996,31.12.8888,,,,,,,,,,,,,,
00Il,,002P,00w?,,        82,005?,000j,0005,??????,????,????,002D,0002,,,01.01.2008,30.03.2011,,,,,,,,,,,0009,?-113,17.03.2011,
00Im,,002a,00w?,,        83,006E,001m,0005,??????,????,????,0025,0002,,,01.09.2007,29.02.2012,,,,,,,,,,,0009,?-166,29.02.2012,
00In,,002h,00w?,,        84,006F,001m,0005,??????,????,????,002D,0002,,,01.09.2007,16.03.2012,,,,,,,,,,,0009,?-190,11.03.2012,
00Ir,,002Z,00w?,,        85,006G,001m,0005,??????,????,????,002F,0002,79/?,27.06.2002,01.07.2002,31.12.8888,,,,,,,,,,,,,,
00Is,,00IQ,00w?,,        86,006G,001m,0005,??????,????,????,002F,0002,17/?,09.02.2004,09.02.2004,31.12.8888,,,,,,,,,,,,,,
00It,,00K2,00w?,,        87,006G,001m,0005,??????,????,????,002F,0002,?-72,30.06.2004,01.07.2004,31.12.8888,,,,,,,,,,,,,,
