"POSTCH_RN,C,4","POSTBS_RN,C,4","CHSTARTDAT,D","CHENDDATE,D","ISSTAFF,L","SOSTZAT_RN,C,4","GRRBDC_RN,C,4","STQNT,N,6,3","WORKTIMECA,C,1","FZPCALC,C,1","RANKMIN,N,4,0","RANKMAX,N,4,0","WRKRANK_RN,C,4","CHNOMINATI,M","CHGENITIVE,M","CHDATIVE,M","CHACCUSATI,M","CHABLATIVE,M","CHPREPOSIT,M","CHSNOMINAT,C,240","CHSGENITIV,C,240","CHSDATIVE,C,240","CHSACCUSAT,C,240","CHSABLATIV,C,240","CHSPREPOSI,C,240","SPECPOST,C,80","SPECDBL,C,80","ADDSOLPFR,C,1","DOC_RN,C,4","DOC_NUM,C,10","DOC_DATE,D","DOCORG_RN,C,4"
000?,000?,01.11.1945,31.12.8888,??????,0006,,"10,5",?,?,8,11,,,,,,,,,,,,,,,,,,,,
000?,000?,01.11.1945,31.12.8888,??????,0006,,1,?,?,2,4,,,,,,,,,,,,,,,,,,,,
001M,001M,01.11.1945,31.12.8888,??????,0006,,1,?,?,2,4,,,,,,,,,,,,,,,,,,,,
001?,001?,01.11.1945,31.12.8888,??????,,,4,?,?,8,11,,,,,,,,,,,,,,,,,,,,
002?,002?,01.11.1945,16.02.2014,??????,,,"13,75",?,?,2,3,,,,,,,,,,,,,,,,,,,,
004J,004J,01.11.1945,31.12.8888,??????,,,"2,75",?,?,8,11,,,,,,,,,,,,,,,,,,,,
004h,004h,01.11.1945,31.12.8888,??????,000m,,"14,25",?,?,8,11,,,,,,,,,,,,,,,,,,,,
0059,0059,01.11.1945,31.12.8888,??????,0006,0002,1,?,?,16,18,,,,,,,,,,,,,,,,,,,,
005A,005A,01.11.1945,31.12.8888,??????,0006,0002,1,?,?,14,18,,,,,,,,,,,,,,,,,,,,
005B,005B,01.11.1945,31.12.2013,??????,0006,0002,1,?,?,14,18,,,,,,,,,,,,,,,,,,,,
005C,005C,01.11.1945,31.12.2013,??????,0006,0002,1,?,?,14,18,,,,,,,,,,,,,,,,,,,,
005D,005D,01.11.1945,31.12.8888,??????,0006,0002,1,?,?,9,15,,,,,,,,,,,,,,,,,,,,
005E,005E,01.11.1945,31.12.2012,????,0006,0002,"1,5",?,?,11,16,,,,,,,,,,,,,,,,,,,,
005F,005F,01.11.1945,31.12.8888,??????,,,"8,25",?,?,11,17,,,,,,,,,,,,,,,,,,,,
005G,005G,01.11.1945,31.12.8888,??????,,,4,?,?,6,10,,,,,,,,,,,,,,,,,,,,
005H,005H,01.11.1945,31.12.8888,????,,,1,?,?,2,3,,,,,,,,,,,,,,,,,,,,
005I,005I,01.11.1945,31.12.8888,??????,,,"2,5",?,?,2,3,,,,,,,,,,,,,,,,,,,,
005J,005J,01.11.1945,31.12.8888,??????,,,1,?,?,2,4,,,,,,,,,,,,,,,,,,,,
005K,005K,01.11.1945,31.12.2012,??????,0006,,1,?,?,13,18,,,,,,,,,,,,,,,,,,,,
005L,005L,01.11.1945,31.12.8888,??????,0006,,4,?,?,12,17,,,,,,,,,,,,,,,,,,,,
005M,005M,01.11.1945,31.12.2012,????,0006,,1,?,?,11,16,,,,,,,,,,,,,,,,,,,,
005N,005N,01.11.1945,31.12.8888,??????,0006,,1,?,?,9,12,,,,,,,,,,,,,,,,,,,,
005O,005O,01.11.1945,31.12.8888,??????,0006,,"14,5",?,?,8,11,,,,,,,,,,,,,,,,,,,,
005P,005P,01.11.1945,31.12.8888,??????,0006,,1,?,?,8,11,,,,,,,,,,,,,,,,,,,,
005Q,005Q,01.11.1945,31.12.8888,??????,0006,,2,?,?,8,11,,,,,,,,,,,,,,,,,,,,
005R,005R,01.11.1945,31.12.2012,????,0006,,1,?,?,8,11,,,,,,,,,,,,,,,,,,,,
005S,005S,01.11.1945,31.12.8888,??????,0006,,1,?,?,3,4,,,,,,,,,,,,,,,,,,,,
005T,005T,01.11.1945,31.12.8888,??????,0006,,"0,5",?,?,2,3,,,,,,,,,,,,,,,,,,,,
005U,005U,01.11.1945,31.12.8888,??????,0006,,1,?,?,2,3,,,,,,,,,,,,,,,,,,,,
005V,005V,01.11.1945,01.10.2013,??????,0006,,"0,75",?,?,2,3,,,,,,,,,,,,,,,,,,,,
005W,005W,01.11.1945,31.12.8888,??????,0006,,2,?,?,2,3,,,,,,,,,,,,,,,,,,,,
005X,005X,01.11.1945,31.12.8888,??????,0006,,1,?,?,2,4,,,,,,,,,,,,,,,,,,,,
005Y,005Y,01.11.1945,31.12.2013,??????,0006,,1,?,?,2,3,,,,,,,,,,,,,,,,,,,,
005Z,005Z,01.11.1945,31.12.8888,??????,0006,,1,?,?,13,18,,,,,,,,,,,,,,,,,,,,
005a,005a,01.11.1945,31.12.8888,??????,0006,,4,?,?,12,17,,,,,,,,,,,,,,,,,,,,
005b,005b,01.11.1945,31.12.8888,??????,0006,,1,?,?,9,12,,,,,,,,,,,,,,,,,,,,
005c,005c,01.11.1945,31.12.8888,??????,0006,,2,?,?,8,11,,,,,,,,,,,,,,,,,,,,
005d,005d,01.11.1945,31.12.8888,??????,0006,,1,?,?,8,11,,,,,,,,,,,,,,,,,,,,
005f,005f,01.11.1945,31.12.8888,??????,0006,,1,?,?,3,4,,,,,,,,,,,,,,,,,,,,
005g,005g,01.11.1945,31.12.8888,??????,0006,,1,?,?,2,3,,,,,,,,,,,,,,,,,,,,
005h,005h,01.11.1945,31.12.8888,??????,0006,,1,?,?,2,3,,,,,,,,,,,,,,,,,,,,
005j,005j,01.11.1945,31.12.8888,??????,0006,,2,?,?,2,3,,,,,,,,,,,,,,,,,,,,
005k,005k,01.11.1945,31.12.8888,??????,0006,,1,?,?,2,4,,,,,,,,,,,,,,,,,,,,
005l,005l,01.11.1945,31.12.8888,??????,0006,,1,?,?,3,4,,,,,,,,,,,,,,,,,,,,
005m,005m,01.11.1945,31.12.8888,??????,0006,,1,?,?,2,3,,,,,,,,,,,,,,,,,,,,
005n,005n,01.11.1945,31.12.8888,??????,0006,,1,?,?,13,18,,,,,,,,,,,,,,,,,,,,
005o,005o,01.11.1945,31.12.8888,??????,0006,,"4,75",?,?,12,17,,,,,,,,,,,,,,,,,,,,
005p,005p,01.11.1945,31.12.8888,??????,0006,,1,?,?,9,12,,,,,,,,,,,,,,,,,,,,
005q,005q,01.11.1945,31.12.8888,??????,0006,,11,?,?,8,11,,,,,,,,,,,,,,,,,,,,
005r,005r,01.11.1945,31.12.8888,??????,0006,,1,?,?,8,11,,,,,,,,,,,,,,,,,,,,
005s,005s,01.11.1945,31.12.8888,??????,0006,,1,?,?,8,11,,,,,,,,,,,,,,,,,,,,
005u,005u,01.11.1945,31.12.8888,??????,0006,,1,?,?,3,4,,,,,,,,,,,,,,,,,,,,
005v,005v,01.11.1945,31.12.8888,??????,0006,,"0,5",?,?,2,3,,,,,,,,,,,,,,,,,,,,
005w,005w,01.11.1945,31.12.8888,??????,0006,,"0,5",?,?,2,3,,,,,,,,,,,,,,,,,,,,
005x,005x,01.11.1945,31.12.2013,??????,0006,,"0,75",?,?,2,3,,,,,,,,,,,,,,,,,,,,
005y,005y,01.11.1945,31.12.8888,??????,0006,,2,?,?,2,3,,,,,,,,,,,,,,,,,,,,
005z,005z,01.11.1945,31.12.8888,??????,0006,,1,?,?,2,4,,,,,,,,,,,,,,,,,,,,
005?,005?,01.11.1945,31.12.8888,??????,0006,,"0,001",?,?,2,3,,,,,,,,,,,,,,,,,,,,
005?,005?,01.11.1945,31.12.8888,??????,0006,,1,?,?,13,18,,,,,,,,,,,,,,,,,,,,
005?,005?,01.11.1945,31.12.8888,??????,0006,,"7,5",?,?,12,17,,,,,,,,,,,,,,,,,,,,
005?,005?,01.11.1945,31.12.8888,??????,0006,,1,?,?,9,12,,,,,,,,,,,,,,,,,,,,
005?,005?,01.11.1945,31.12.8888,??????,0006,,16,?,?,8,11,,,,,,,,,,,,,,,,,,,,
005?,005?,01.11.1945,31.12.8888,??????,0006,,1,?,?,8,11,,,,,,,,,,,,,,,,,,,,
005?,005?,01.11.1945,31.12.8888,??????,0006,,1,?,?,8,11,,,,,,,,,,,,,,,,,,,,
005?,005?,01.11.1945,31.12.8888,??????,0006,,1,?,?,3,4,,,,,,,,,,,,,,,,,,,,
005?,005?,01.11.1945,31.12.8888,??????,0006,,1,?,?,2,3,,,,,,,,,,,,,,,,,,,,
005?,005?,01.11.1945,31.12.8888,??????,0006,,1,?,?,2,3,,,,,,,,,,,,,,,,,,,,
005?,005?,01.11.1945,31.12.8888,??????,0006,,1,?,?,2,3,,,,,,,,,,,,,,,,,,,,
005?,005?,01.11.1945,31.12.8888,??????,0006,,2,?,?,2,3,,,,,,,,,,,,,,,,,,,,
005?,005?,01.11.1945,31.12.8888,??????,0006,,"0,5",?,?,2,3,,,,,,,,,,,,,,,,,,,,
005?,005?,01.11.1945,31.12.8888,??????,,,1,?,?,13,18,,,,,,,,,,,,,,,,,,,,
005?,005?,01.11.1945,31.12.8888,??????,,,"4,25",?,?,12,17,,,,,,,,,,,,,,,,,,,,
005?,005?,01.11.1945,31.12.8888,??????,,,1,?,?,9,12,,,,,,,,,,,,,,,,,,,,
005?,005?,01.11.1945,31.12.8888,??????,,,"12,5",?,?,8,11,,,,,,,,,,,,,,,,,,,,
005?,005?,01.11.1945,31.12.8888,??????,,,"1,25",?,?,8,11,,,,,,,,,,,,,,,,,,,,
005?,005?,01.11.1945,31.12.8888,??????,,,2,?,?,8,11,,,,,,,,,,,,,,,,,,,,
005?,005?,01.11.1945,31.12.8888,??????,,,1,?,?,3,4,,,,,,,,,,,,,,,,,,,,
005?,005?,01.11.1945,31.12.8888,??????,,,1,?,?,2,3,,,,,,,,,,,,,,,,,,,,
005?,005?,01.11.1945,31.12.8888,??????,,,"0,5",?,?,2,3,,,,,,,,,,,,,,,,,,,,
005?,005?,01.11.1945,31.12.2013,??????,,,1,?,?,2,3,,,,,,,,,,,,,,,,,,,,
005?,005?,01.11.1945,31.12.8888,??????,,,2,?,?,2,3,,,,,,,,,,,,,,,,,,,,
005?,005?,01.11.1945,31.12.8888,??????,,,1,?,?,2,3,,,,,,,,,,,,,,,,,,,,
005?,005?,01.11.1945,31.12.8888,??????,,,4,?,?,2,4,,,,,,,,,,,,,,,,,,,,
005?,005?,01.11.1945,31.12.8888,??????,0006,,1,?,?,13,18,,,,,,,,,,,,,,,,,,,,
005?,005?,01.11.1945,31.12.8888,??????,0006,,4,?,?,12,17,,,,,,,,,,,,,,,,,,,,
005?,005?,01.11.1945,31.12.8888,??????,0006,,1,?,?,9,12,,,,,,,,,,,,,,,,,,,,
